"","ewp_name","risk.2024moodel","rank.2024model","risk_2023model","rank_2023model","risk_difference","rank_difference"
"146","Tunisia",0.0024,140,0.001,127,0.0014,13
"147","Albania",0.0021,149,8e-04,136,0.0013,13
"148","Norway",0.0018,157,7e-04,144,0.0011,13
"149","Costa Rica",0.0013,164,4e-04,151,9e-04,13
"150","Cyprus",0.0036,117,0.0018,103,0.0018,14
"151","Australia",0.003,129,0.0013,115,0.0017,14
"152","China",0.0284,26,0.034,11,-0.0056,15
"153","South Africa",0.0235,37,0.0247,22,-0.0012,15
"154","Botswana",0.007,84,0.0043,69,0.0027,15
"155","Romania",0.0045,104,0.0024,89,0.0021,15
"156","Uruguay",0.0011,168,4e-04,153,7e-04,15
"157","Poland",0.0043,109,0.0022,92,0.0021,17
"158","Tanzania",0.0218,41,0.0245,23,-0.0027,18
"159","Republic of Congo",0.0264,31,0.0328,12,-0.0064,19
"160","Argentina",0.0074,83,0.0063,64,0.0011,19
"161","El Salvador",0.0066,89,0.0042,70,0.0024,19
"162","Liberia",0.017,52,0.0202,32,-0.0032,20
"163","Nicaragua",0.0099,72,0.0109,50,-0.000999999999999999,22
"164","Canada",0.0044,108,0.0028,85,0.0016,23
"165","Maldives",0.0042,111,0.0024,88,0.0018,23
"166","Austria",0.0023,145,0.0011,119,0.0012,26
"167","Nepal",0.0202,44,0.0284,17,-0.0082,27
"168","Cuba",0.0018,154,0.001,123,8e-04,31
